code,v2,label,visited,payoff,v6,v7,liberal,comment,condition,cause,age,gender,race,volunteer,donated,politics,ceostanceopinion,ceocsropinion,trolley,risk1,risk2,risk3,risk4,risk5,amb1,amb2,amb3,amb4,amb5,amb6,amb7,fair1,fair2,fair3,fair4,fair5,fair6,fair7,fair8,fair9,fair10,risk,amb,fair,match,round_earnings_1,round_earnings_2,round_earnings_3,round_earnings_4,round_earnings_5,round_earnings_6,round_earnings_7,round_earnings_8,round_earnings_9,round_earnings_10,round_earnings_str_1,round_earnings_str_2,round_earnings_str_3,round_earnings_str_4,round_earnings_str_5,round_earnings_str_6,round_earnings_str_7,round_earnings_str_8,round_earnings_str_9,round_earnings_str_10,pre_decision_earnings_1,pre_decision_earnings_2,pre_decision_earnings_3,pre_decision_earnings_4,pre_decision_earnings_5,pre_decision_earnings_6,pre_decision_earnings_7,pre_decision_earnings_8,pre_decision_earnings_9,pre_decision_earnings_10,round_donation_str_1,round_donation_str_2,round_donation_str_3,round_donation_str_4,round_donation_str_5,round_donation_str_6,round_donation_str_7,round_donation_str_8,round_donation_str_9,round_donation_str_10,social_action_1,social_action_2,social_action_3,social_action_4,social_action_5,social_action_6,social_action_7,social_action_8,social_action_9,social_action_10,social_action_b_1,social_action_b_2,social_action_b_3,social_action_b_4,social_action_b_5,social_action_b_6,social_action_b_7,social_action_b_8,social_action_b_9,social_action_b_10,board_block_1,board_block_2,board_block_3,board_block_4,board_block_5,board_block_6,board_block_7,board_block_8,board_block_9,board_block_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,cotton_1,cotton_2,cotton_3,cotton_4,cotton_5,cotton_6,cotton_7,cotton_8,cotton_9,cotton_10,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,type_b_1,type_b_2,type_b_3,type_b_4,type_b_5,type_b_6,type_b_7,type_b_8,type_b_9,type_b_10,cotton_b_1,cotton_b_2,cotton_b_3,cotton_b_4,cotton_b_5,cotton_b_6,cotton_b_7,cotton_b_8,cotton_b_9,cotton_b_10,price_b_1,price_b_2,price_b_3,price_b_4,price_b_5,price_b_6,price_b_7,price_b_8,price_b_9,price_b_10,round_earnings_n_1,round_earnings_n_2,round_earnings_n_3,round_earnings_n_4,round_earnings_n_5,round_earnings_n_6,round_earnings_n_7,round_earnings_n_8,round_earnings_n_9,round_earnings_n_10,type_n_1,type_n_2,type_n_3,type_n_4,type_n_5,type_n_6,type_n_7,type_n_8,type_n_9,type_n_10,cotton_n_1,cotton_n_2,cotton_n_3,cotton_n_4,cotton_n_5,cotton_n_6,cotton_n_7,cotton_n_8,cotton_n_9,cotton_n_10,price_n_1,price_n_2,price_n_3,price_n_4,price_n_5,price_n_6,price_n_7,price_n_8,price_n_9,price_n_10,social_action_n_1,social_action_n_2,social_action_n_3,social_action_n_4,social_action_n_5,social_action_n_6,social_action_n_7,social_action_n_8,social_action_n_9,social_action_n_10,board_block_n_1,board_block_n_2,board_block_n_3,board_block_n_4,board_block_n_5,board_block_n_6,board_block_n_7,board_block_n_8,board_block_n_9,board_block_n_10,donate_num,donate_num_1h,donate_num_2h,black,eastasian,hispanic,multiracial,other,southasian,white,asian,other_race,female,male,nonbinary,unkgender,mismatch,control,match_,earnings,earnings_1h,earnings_2h,donate_pct,donate_pct_1h,donate_pct_2h
ko040yl3,49m28d93,,1,2.6400001,ko040yl3,49m28d93,1,,Baseline,Everytown for Gun Safety,26,1,White,0,1,4,4,5,1,0,0,1,1,1,0,0,0,1,1,1,1,-2,-2,-3,-4,-4,-2,-3,-2,1,-5,3,4,-2.5999999,1,2.8900001,2.8399999,2.8900001,2.8699999,.44999999,2,1.35,2.1400001,2.49,2.8399999,2.8900001,2.8399999,2.8900001,2.8699999,.44999999,2,1.35,2.1400001,2.49,2.8399999,,,,,,,,,,,0,0,0,0,.050000001,0,.15000001,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,75,85,85,80,80,40,60,35,80,75,55,60,55,52,49,99,99,80,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8900001,2.8399999,2.8900001,2.8699999,.44999999,2,1.35,2.1400001,2.49,2.8399999,Sweater Vest,Cardigan,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,75,85,85,80,80,40,60,35,80,75,55,60,55,52,49,99,99,80,90,50,,No Action,,No Action,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,No Action,No Action,No Action,,,,,,,,,,,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,22.76,11.94,10.82,.2,.1,.1
yrjguxen,49m28d93,,1,3.02,yrjguxen,49m28d93,1,,Baseline,the National Rifle Association (NRA),,1,East Asian,1,1,4,2,4,1,0,1,1,1,1,0,0,1,1,1,1,1,4,-2,-3,3,0,3,2,1,3,2,4,5,1.3,0,3,2.8099999,2.3900001,3.04,.44999999,2.4300001,2,2.2,2.4000001,.44999999,3,2.8099999,2.3900001,3.04,.44999999,2.4300001,2,2.2,2.4000001,.44999999,,,,,,,,,,,0,0,0,0,.050000001,.27000001,0,0,0,.050000001,0,0,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.14,0,0,0,.14,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,100,80,80,50,40,60,80,58,49,58,100,45,50,97,99,99,99,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.8099999,2.3900001,3.04,.44999999,2.4300001,2,2.2,2.4000001,,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,100,80,80,50,40,60,80,,49,58,100,45,50,97,99,99,99,,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,No Action,No Action,,,,,,,,,,,,3,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21.17,11.69,9.4800005,.30000001,.1,.2
bwdifyfz,49m28d93,,1,1.76,bwdifyfz,49m28d93,1,,Baseline,Everytown for Gun Safety,25,0,White,0,1,5,5,5,1,0,0,1,1,1,0,0,1,1,1,1,1,-3,3,1,5,-2,-1,-3,-1,-2,-5,3,5,-.80000001,1,.44999999,.44999999,.44999999,.44999999,.44999999,1.35,.44999999,5.4000001,4.73,6.0700002,.44999999,.44999999,.44999999,.44999999,.44999999,1.35,.44999999,5.4000001,4.73,6.0700002,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,.050000001,.15000001,.050000001,.60000002,.51999998,.68000001,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.079999998,0,0,0,.11,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,100,80,85,100,60,80,30,35,25,49,55,59,50,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,.44999999,.44999999,.44999999,1.35,.44999999,5.4000001,4.73,6.0700002,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,100,80,85,100,60,80,30,35,25,49,55,59,50,49,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,20.25,2.25,18,1,.5,.5
ga4caip8,49m28d93,,1,4.1199999,ga4caip8,49m28d93,1,,Baseline,The American Red Cross,36,0,White,1,1,3,5,2,1,0,0,1,1,1,1,1,0,0,0,0,0,3,-2,0,1,2,1,2,-4,3,3,3,2,.89999998,2,.44999999,.44999999,3,.44999999,1.89,4.0500002,.44999999,.44999999,2.8299999,2.04,.44999999,.44999999,3,.44999999,1.89,4.0500002,.44999999,.44999999,2.8299999,2.04,,,,,,,,,,,.050000001,.050000001,0,.050000001,.20999999,.44999999,.050000001,.050000001,.31999999,0,1,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.22,0,0,0,.22,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,80,90,80,70,75,40,40,65,40,50,69,55,49,39,35,99,35,35,90,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,3,.44999999,.88999999,4.0500002,.44999999,.44999999,2.8900001,2.04,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,80,90,80,70,75,40,40,65,40,50,669,55,49,39,35,99,35,35,90,105,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,,,,,,,,,,,8,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,16.059999,6.2399998,9.8199997,.80000001,.40000001,.40000001
8ckvvnzv,49m28d93,,1,2.9200001,8ckvvnzv,49m28d93,1,,Baseline,the National Rifle Association (NRA),21,0,White,1,1,1,5,4,1,0,0,0,1,1,0,0,1,0,1,1,1,2,2,-4,3,-2,-3,2,0,-3,0,2,4,-.30000001,0,3,3.01,3.04,2.9000001,3.01,2,3,2.8399999,2.0799999,2.99,3,3.01,3.04,2.9000001,3.01,2,3,2.8399999,2.0799999,2.99,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,80,81,85,80,82,40,80,80,39,80,49,49,50,49,50,99,49,55,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3.04,2.9000001,3.01,2,3,2.8399999,2.0799999,,Sweater Vest,,Sweater Vest,Cardigan,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,,80,,85,80,82,40,80,80,39,,49,,50,49,50,99,49,55,90,,No Action,,No Action,No Action,No Action,No Action,No Action,No Action,No Action,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27.870001,14.960001,12.91,0,0,0
p7vlljhk,49m28d93,,1,.86000001,p7vlljhk,49m28d93,1,,Baseline,Everytown for Gun Safety,22,0,White,0,1,5,4,4,0,0,0,0,1,1,0,0,0,0,1,1,1,0,5,0,4,0,0,0,0,0,0,2,3,.89999998,1,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,4.0500002,2.7,4.0500002,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,4.0500002,2.7,4.0500002,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.44999999,.30000001,.44999999,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.029999999,0,0,0,.059999999,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,100,95,80,100,40,40,40,55,45,69,75,69,99,99,99,109,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,13.950001,2.25,11.700001,1,.5,.5
p2c39ces,49m28d93,,1,3.6400001,p2c39ces,49m28d93,1,,Baseline,The American Red Cross,24,0,White,1,0,3,4,3,1,0,0,0,0,1,0,1,0,1,0,1,0,0,-1,1,3,2,-1,0,0,0,2,1,3,.60000002,2,.44999999,2.99,2.3399999,.44999999,2.79,4.0500002,2.6900001,.44999999,.44999999,2.1600001,.44999999,2.99,2.3399999,.44999999,2.79,4.0500002,2.6900001,.44999999,.44999999,2.1600001,,,,,,,,,,,.050000001,0,.25999999,.050000001,0,.44999999,0,.050000001,.050000001,.23999999,1,0,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.13,0,0,.22,0,0,0,.34999999,Cardigan,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,80,70,50,100,90,40,60,80,70,65,49,40,35,65,80,99,60,100,65,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,18.820002,9.0199995,9.8000002,.69999999,.30000001,.40000001
h8goaeiy,49m28d93,,1,2.1300001,h8goaeiy,49m28d93,1,,Baseline,the National Rifle Association (NRA),27,1,Other,0,0,3,2,3,1,0,0,0,1,1,0,1,0,1,0,1,0,3,-3,-4,-2,3,-4,2,-5,2,4,2,3,-.40000001,0,3,2.9000001,2.9000001,3,2.9000001,.44999999,5.4000001,.44999999,6.0700002,6.75,3,2.9000001,2.9000001,3,2.9000001,.44999999,5.4000001,.44999999,6.0700002,6.75,,,,,,,,,,,0,0,0,0,0,.050000001,.60000002,.050000001,.68000001,.75,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.029999999,0,0,0,.029999999,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Sweater Vest,Cardigan,Turtleneck,Cardigan,Cardigan,80,80,80,90,90,30,30,30,25,20,49,49,49,59,59,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9000001,2.9000001,3,2.9000001,.44999999,5.4000001,.44999999,6.0700002,6.75,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Sweater Vest,Cardigan,Turtleneck,Cardigan,Cardigan,80,80,80,90,90,30,30,30,25,20,49,49,49,59,59,99,99,99,99,99,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,5,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,33.82,14.700001,19.119999,.5,0,.5
lj9vzkdq,49m28d93,,1,3.05,lj9vzkdq,49m28d93,1,,Baseline,Everytown for Gun Safety,55,0,White,0,1,5,4,5,0,0,0,1,1,1,0,0,0,0,1,1,1,-5,-3,-4,0,-3,0,-2,-5,-4,-5,3,3,-3.0999999,1,3,1.8,.44999999,.44999999,.44999999,4.0500002,2.7,4.0500002,4.0500002,4.0500002,3,1.8,.44999999,.44999999,.44999999,4.0500002,2.7,4.0500002,4.0500002,4.0500002,,,,,,,,,,,0,.2,.050000001,.050000001,.050000001,.44999999,.30000001,.44999999,.44999999,.44999999,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.22,0,0,0,.25,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,100,70,80,40,50,40,40,40,49,59,59,49,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.8,.44999999,45,.44999999,4.0500002,2.7,4.0500002,4.0500002,,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,,80,80,1100,70,80,40,50,40,40,,49,59,59,49,49,99,99,99,99,,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,,9,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,25.049999,6.1499996,18.900002,.89999998,.40000001,.5
to3cxyxq,49m28d93,,1,2.5799999,to3cxyxq,49m28d93,1,,Baseline,The American Red Cross,19,0,White,0,0,4,4,4,1,0,0,1,1,1,0,1,0,1,1,0,1,0,3,-3,-4,3,0,2,-2,2,2,3,4,.30000001,2,.44999999,3.01,.44999999,.44999999,2.9100001,2.7,.44999999,1.35,.44999999,4.0500002,.44999999,3.01,.44999999,.44999999,2.9100001,2.7,.44999999,1.35,.44999999,4.0500002,,,,,,,,,,,.050000001,0,.050000001,.050000001,0,.30000001,.050000001,.15000001,.050000001,.44999999,1,0,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.15000001,0,0,0,.18000001,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Cardigan,Sweater Vest,Cardigan,Turtleneck,Cardigan,80,80,75,80,80,50,40,50,80,40,52,48,50,48,48,99,99,89,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,3.01,,,,,,,,,Sweater Vest,Sweater Vest,,,,,,,,,80,80,,,,,,,,,52,48,,,,,,,,,Donate 10% of Period Earnings,No Action,,,,,,,,,,,,,,,,,,,8,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,16.27,7.2700005,9,.80000001,.30000001,.5
