participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.prolific_id,player.start_time,player.end_time,player.round_earnings,player.round_earnings_str,player.condition,player.survey_key,player.cause,player.consent,player.confirm_cause_nra,player.confirm_cause_etfgs,player.confirm_cause_rc,player.confirm_money,player.donation,player.donation_sum,player.round_donation_str,player.donation_str,player.payoff_a,player.payoff_a_str,player.payoff_b,player.payoff_b_str,player.paying_round_a,player.paying_round_b,player.rand_num,player.social_action_count,player.type,player.cotton,player.price,player.social_action,player.type1,player.cotton1,player.price1,player.social_action1,player.t_match1,player.t_match2,player.t_match3,player.d_match1,player.d_match2,player.d_match3,player.match1,player.match2,player.match3,player.round_earnings_n,player.type_n,player.cotton_n,player.price_n,player.social_action_n,player.board_block_n,player.type_b,player.cotton_b,player.price_b,player.social_action_b,player.board_block,player.board_penalty,player.pre_decision_earnings,player.attention_check,player.free_response_1,player.free_response_2,player.free_response_3,player.free_response_4,player.free_response_b1,player.free_response_b2,player.free_response_r1,player.free_response_r2,player.age,player.gender,player.race,player.volunteer,player.donated,player.politics,player.stance_opinion,player.csr_opinion,player.trolley,player.risk1,player.risk2,player.risk3,player.risk4,player.risk5,player.amb1,player.amb2,player.amb3,player.amb4,player.amb5,player.amb6,player.amb7,player.fair1,player.fair2,player.fair3_r,player.fair4_r,player.fair5,player.fair6_r,player.fair7,player.fair8_r,player.fair9,player.fair10,player.risk_payoff,player.risk_payoff_str,player.amb_payoff,player.amb_payoff_str,player.open_comments,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,jni8vw4i,,0,2,280,spi_strategies,Consent,10.30.127.176,2020-07-06 17:08:56.956278+00:00,1,,,0.00,1,5f02a2b5e91635159e4dad4f,,,,,Baseline,,the National Rifle Association (NRA),,,,,,,0.0,,,,,,,3,6,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
2,ko040yl3,,0,280,280,spi_strategies,FinalPayment,10.52.9.178,2020-07-06 17:12:41.527592+00:00,1,,,2.64,2,5f02a2b5e91635159e4dad4f,1594055681.916824,,2.89,2.89,Baseline,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,3,6,,,Sweater Vest,75,55,No Action,Sweater Vest,75,55,No Action,1,0,0,1,0,,1,1,0,2.89,Sweater Vest,75,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
3,kov3e2gw,,0,3,280,spi_strategies,Introduction,10.109.218.102,2020-07-06 17:14:19.788167+00:00,1,,,0.00,3,5ec99718111ab74a73726e6b,,,,,Baseline,,The American Red Cross,I consent,,,,,,0.0,,,,,,,3,6,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
4,yrjguxen,,0,281,280,spi_strategies,FinalPayment,10.35.183.55,2020-07-06 17:17:38.729914+00:00,1,,,3.02,4,5d18277db3e698001aea8f43,1594055886.7032828,,3.0,3.00,Baseline,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,3,6,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
5,bwdifyfz,,0,281,280,spi_strategies,FinalPayment,10.45.47.90,2020-07-06 17:19:27.838506+00:00,1,,,1.76,5,5e9a4b17666c130defb0ab72,1594064095.9455044,,0.45,0.45,Baseline,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,3,6,,,Sweater Vest,80,49,Donate 10% of Period Earnings,Sweater Vest,80,49,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,0.45,Sweater Vest,80,49,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
6,ga4caip8,,0,280,280,spi_strategies,FinalPayment,10.30.25.182,2020-07-06 17:22:52.597928+00:00,1,,,4.12,6,5de4ba129a9da54640672e49,1594056552.3284857,,0.45,0.45,Baseline,,The American Red Cross,I consent ,,,Any donations I make in this experiment will go to The American Red Cross.,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,3,6,,,Cardigan,80,69,Donate 10% of Period Earnings,Cardigan,80,69,Donate 10% of Period Earnings,0,0,1,0,1,,1,0,0,0.45,Cardigan,80,669,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
7,8ckvvnzv,,0,280,280,spi_strategies,FinalPayment,10.31.87.172,2020-07-06 17:23:06.043089+00:00,1,,,2.92,7,5efcde004946480ef9966ce4,1594056299.7062283,,3.0,3.00,Baseline,,the National Rifle Association (NRA),I consent ,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,3,6,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
8,p7vlljhk,,0,280,280,spi_strategies,FinalPayment,10.81.170.215,2020-07-06 17:24:26.291430+00:00,1,,,0.86,8,5ef7710bb5b38908a7fc8625,1594056361.7827616,,0.45,0.45,Baseline,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,3,6,,,Sweater Vest,80,55,Donate 10% of Period Earnings,Sweater Vest,80,55,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
9,p2c39ces,,0,281,280,spi_strategies,FinalPayment,10.37.246.199,2020-07-06 17:25:33.193443+00:00,1,,,3.64,9,5e5bdffc71e4603bc338a96c,1594056423.3732462,,0.45,0.45,Baseline,,The American Red Cross,I consent ,,,Any donations I make in this experiment will go to The American Red Cross.,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,3,6,,,Cardigan,80,49,Donate 10% of Period Earnings,Cardigan,80,49,Donate 10% of Period Earnings,0,0,1,0,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
10,h8goaeiy,,0,280,280,spi_strategies,FinalPayment,10.45.226.51,2020-07-06 17:25:59.608481+00:00,1,,,2.13,10,5f02cea120393a16d40a9594,1594056468.9661858,,3.0,3.00,Baseline,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,3,6,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,49m28d93,,,,,,0
