participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.prolific_id,player.start_time,player.end_time,player.round_earnings,player.round_earnings_str,player.condition,player.survey_key,player.cause,player.consent,player.confirm_cause_nra,player.confirm_cause_etfgs,player.confirm_cause_rc,player.confirm_money,player.donation,player.donation_sum,player.round_donation_str,player.donation_str,player.payoff_a,player.payoff_a_str,player.payoff_b,player.payoff_b_str,player.paying_round_a,player.paying_round_b,player.rand_num,player.social_action_count,player.type,player.cotton,player.price,player.social_action,player.type1,player.cotton1,player.price1,player.social_action1,player.t_match1,player.t_match2,player.t_match3,player.d_match1,player.d_match2,player.d_match3,player.match1,player.match2,player.match3,player.round_earnings_n,player.type_n,player.cotton_n,player.price_n,player.social_action_n,player.board_block_n,player.type_b,player.cotton_b,player.price_b,player.social_action_b,player.board_block,player.board_penalty,player.pre_decision_earnings,player.attention_check,player.free_response_1,player.free_response_2,player.free_response_3,player.free_response_4,player.free_response_b1,player.free_response_b2,player.free_response_r1,player.free_response_r2,player.age,player.gender,player.race,player.volunteer,player.donated,player.politics,player.stance_opinion,player.csr_opinion,player.trolley,player.risk1,player.risk2,player.risk3,player.risk4,player.risk5,player.amb1,player.amb2,player.amb3,player.amb4,player.amb5,player.amb6,player.amb7,player.fair1,player.fair2,player.fair3_r,player.fair4_r,player.fair5,player.fair6_r,player.fair7,player.fair8_r,player.fair9,player.fair10,player.risk_payoff,player.risk_payoff_str,player.amb_payoff,player.amb_payoff_str,player.open_comments,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,mkae3lio,,0,281,280,spi_strategies,FinalPayment,10.111.171.190,2020-07-13 15:42:28.857185+00:00,1,,,4.16,1,5b54ce6fb7ef510001676f99,1594655037.6284418,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
2,1rzvsoli,,0,281,280,spi_strategies,FinalPayment,10.69.232.242,2020-07-13 15:45:16.443549+00:00,1,,,2.85,2,5ec558713d68ea50c977defc,1594655138.0532196,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety,,My personal earnings in this experiment will be paid to me in real money,0.0,0.0,0.05,,,,,,5,8,,,Sweater Vest,80,49,Donate 10% of Period Earnings,Sweater Vest,80,49,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
3,x1hnruf1,,0,281,280,spi_strategies,FinalPayment,10.79.182.58,2020-07-13 15:46:38.677558+00:00,1,,,3.77,3,5589cd58fdf99b18be3203af,1594655895.0369792,,0.45,0.45,Reputation,,the National Rifle Association (NRA),I consent ,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Cardigan,90,60,Donate 10% of Period Earnings,Cardigan,90,60,Donate 10% of Period Earnings,0,0,1,0,1,,1,0,0,0.45,Cardigan,90,60,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
4,fddakjuy,,0,280,280,spi_strategies,FinalPayment,10.11.225.205,2020-07-13 15:50:48.570529+00:00,1,,,0.66,4,5d8195d0bf80d30001bf0a22,1594655516.2731273,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Cardigan,100,25,Donate 10% of Period Earnings,Cardigan,100,25,Donate 10% of Period Earnings,0,0,1,0,1,,1,0,0,0.45,Cardigan,100,25,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
5,32lrhv26,,0,7,280,spi_strategies,ConfirmNRA,10.150.246.196,2020-07-13 15:58:31.023326+00:00,1,,,0.00,5,5d5829211139bc001666e4e9,1594656047.6876733,,,,Reputation,,the National Rifle Association (NRA),I consent,,,,,,0.0,,,,,,,5,8,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
6,t4kj3zkg,,0,280,280,spi_strategies,FinalPayment,10.123.144.18,2020-07-13 16:00:47.050191+00:00,1,,,3.40,6,5e3eff4fb484a8154a74d56d,1594656166.3600202,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Cardigan,85,59,Donate 10% of Period Earnings,Cardigan,85,59,Donate 10% of Period Earnings,0,0,1,0,1,,1,0,0,0.45,Cardigan,85,59,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
7,ps1ekok9,,0,281,280,spi_strategies,FinalPayment,10.63.145.103,2020-07-13 16:02:55.168486+00:00,1,,,3.34,7,574dc90512d86b000f833ab0,1594656279.0709555,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
8,44uowk6v,,0,280,280,spi_strategies,FinalPayment,10.30.108.123,2020-07-13 16:03:06.497023+00:00,1,,,3.93,8,5efba2154044a21407b57da6,1594656275.1314344,,2.99,2.99,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,79,49,No Action,Sweater Vest,79,49,No Action,1,0,0,1,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
9,ig85fnlj,,0,281,280,spi_strategies,FinalPayment,10.31.74.134,2020-07-13 16:04:31.594214+00:00,1,,,3.39,9,5ba131edc009cf0001dc293a,1594656442.4516277,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA),,,My personal earnings in this experiment will be paid to me in real money,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
10,ma3tg3a8,,0,281,280,spi_strategies,FinalPayment,10.35.234.123,2020-07-13 16:04:54.004006+00:00,1,,,3.70,10,5e0658dda2c6960472c1d519,1594656394.7787561,,0.45,0.45,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.05,,,,,,5,8,,,Sweater Vest,80,49,Donate 10% of Period Earnings,Sweater Vest,80,49,Donate 10% of Period Earnings,1,0,0,0,1,,0,0,0,0.45,Sweater Vest,80,49,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
11,i5nrqi2m,,0,280,280,spi_strategies,FinalPayment,10.52.12.238,2020-07-13 16:05:10.175177+00:00,1,,,3.09,11,5bdcfa7b9ab26e0001a49702,1594656537.1724906,,2.84,2.84,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Cardigan,85,60,No Action,Cardigan,85,60,No Action,0,0,1,1,0,,0,1,0,2.84,Cardigan,85,60,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
12,jgqmwi6p,,0,280,280,spi_strategies,FinalPayment,10.5.241.183,2020-07-13 16:08:25.924936+00:00,1,,,4.95,12,58a9bada6a8d3b00017eccc2,1594656602.097339,,3.0,3.00,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
13,eacnb5tl,,0,281,280,spi_strategies,FinalPayment,10.9.247.118,2020-07-13 16:09:10.254122+00:00,1,,,3.85,13,5dce9f0c867a25197d6944c5,1594656710.1195226,,3.0,3.00,Reputation,,the National Rifle Association (NRA),I consent,Any donations I make in this experiment will go to the National Rifle Association (NRA).,,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,3.00,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
14,bwn47wrs,,0,280,280,spi_strategies,FinalPayment,10.181.29.40,2020-07-13 16:13:47.733398+00:00,1,,,2.50,14,5ef4f54c81ce5310af7f3974,1594657042.907988,,3.0,3.00,Reputation,,Everytown for Gun Safety,I consent,,Any donations I make in this experiment will go to Everytown for Gun Safety.,,My personal earnings in this experiment will be paid to me in real money.,0.0,0.0,0.00,,,,,,5,8,,,Sweater Vest,80,49,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,,Sweater Vest,90,59,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,1,fvhzp1ip,,,,,,0
